Agent CIA v roce 1983 popsal, jak používají média k propagandě veřejnosti;Během pondělního vysílání pořadu „The American Journal“ na Infowars Harrison Smith přehrál rozhovor z roku 1983, který poskytl vládní whistleblower Edward Snowden a v němž agent CIA otevřeně vysvětluje, jak zpravodajské služby využívají mainstreamová média k propagandě veřejnosti. (Foto: Twitter / Edward Snowden)
OSN vzkazuje Elonu Muskovi, aby sledoval „škodlivé dezinformace“ a „nenávistné projevy“;Vysoký komisař OSN pro lidská práva Volker Türk zaslal novému majiteli Twitteru Elonu Muskovi otevřený dopis, v němž ho žádá, aby zajistil dodržování lidských práv a monitorování nenávistných projevů a dezinformací na Twitteru.
USA a Rusko se poprvé od invaze na Ukrajinu dohodly na obnovení jednání o jaderné smlouvě;Na znamení vzácného průlomu ve chvíli, kdy přímá komunikace téměř neexistuje, USA tento týden potvrdily, že rozhovory s Ruskem pokročí v otázce zachování a obnovení jediné stávající jaderné smlouvy mezi oběma stranami. (Foto: Flickr)
USA zřídí další novou vojenskou základnu na severovýchodě Sýrie;Mezinárodní koaliční síly pod vedením USA operující na severovýchodě Sýrie mají v úmyslu zřídit novou vojenskou základnu v jimi kontrolovaných oblastech na venkově v Rakce. (Foto: Twitter)
Před čím varovala OSN v roce 1989? Budete překvapeni;V roce 1989 jeden z vysokých úředníků OSN pro životní prostředí prohlásil: (Foto: Twitter) 
Co je hlavním důvodem současné drahoty? Válka na Ukrajině to není, tvrdí Šichtařová;Česká ekonomka, bloggerka a autorka populárně zaměřených textů z oblastí ekonomiky a finančních trhů, Ing. Markéta Šichtařová přijala pozvání do čtvrtého dílu pořadu Karla Janečka. Společně si povídali nad tématem ekonomické krize a jejich hrozbách. (Foto: Youtube)
Rusko nařídilo vojákům opustit Cherson, ale Zelenského úřad vydal varování;Generál Sergej Surovikin, celkový velitel ruských sil na Ukrajině, oznámil, že se jeho jednotky z Chersonu stahují. (Foto: Twitter)
Maďarsko blokuje finanční pomoc EU ve výši 18 miliard eur pro Ukrajinu;Evropská komise 9. listopadu navrhne poskytnout Kyjevu zvýhodněné půjčky na stabilnějším základě, ale tato iniciativa si vyžádá použití dalších prostředků z rozpočtu EU. (Foto: Flickr)
New York začal stavět tisíce obřích šedých věží 5G;V New Yorku začínají vyrůstat nové obří ošklivé věže 5G, a přestože se snaží vypadat futuristicky, mnozí si nemohou nevšimnout, jak moc tyto přírůstky v ulicích města působí nepříjemně. (Foto: Youtube / FoxNews)
Maduro byl v roce 2020 dán na seznam hledaných osob USA, nyní si potřásá ruku s Kerrym;Venezuelský Maduro se v roce 2020 dostane ze seznamu hledaných osob v USA (odměna 15 milionů dolarů za jeho dopadení) a v roce 2022 si potřese rukou s Johnem Kerrym. (Foto: Twitter)
Zakladatel společnosti Oculus sestrojil VR headset, který uživatele zabije, pokud ve hře zemře;Zakladatel společnosti Oculus a obranný dodavatel Palmer Luckey tvrdí, že sestrojil VR headset, který v případě, že avatar jeho uživatele zemře ve hře, vyhodí uživateli do vzduchu hlavu pomocí „výbušných náloží“. (Foto: The headset / LUCKEY)
Britskou jadernou ponorku  během „přísně tajné mise“ zachvátil požár;Britská ponorka s jaderným pohonem nesoucí dvě balistické rakety Trident II byla nucena přerušit „přísně tajnou misi“ v severním Atlantiku poté, co vypukl požár, informoval deník The Sun. (Foto: Flickr)
Světový obchod se zhoršuje? FedEx parkuje letadla, Maersk ruší plavby;Ekonomické mraky se stahují po celém světě, protože některé z největších přepravních společností varují před poklesem světového obchodu. (Foto: Flickr)
Zelenskyj stanovil podmínky pro „skutečné“ mírové rozhovory;Bílý dům a některé evropské metropole v poslední době signalizují, že „únava z Ukrajiny“ vede k rostoucímu tlaku na Kyjev, aby začal vážně jednat o příměří s Ruskem. (Foto: Flickr)
„Protestujte!“ Trump vyzývá k akci kvůli „katastrofě“ u volebních místností;Bývalý prezident Trump vyzval k protestům kvůli nesrovnalostem při hlasování po celé zemi. (Foto: Twitter)
Americký volební pracovník v přímém přenosu upravoval volební lístky?;Americký volební pracovník měl nenápadně upravoval volební lístky, naštěstí si nevšiml, že je v přímém přenosu televize Fox News. (Foto: Twitter / Fox News)
Zelenskyj získal Oskara od Seana Penna;Video zveřejněné prezidentem Volodymyrem Zelenským ukazuje jeho setkání s americkým hercem Seanem Pennem v Kyjevě. (Foto: Twitter)
Americká média tvrdí, že sčítání hlasů může trvat týdny;V návratu do roku 2020 ABC News uvádí, že „rudý přelud“ by mohl v noci vypadat jako velké vítězství republikánů, ale úplné sečtení hlasů by mohlo trvat „týdny“. (Foto: Youtube)
